Occurrence,AnnualRainfall,RainfallSeasonality,TempSeasonality,MaxTemp,Isothermality,Slope,Watering,PlantMaterialOrigin,Area
0,-0.403286634,0.081338574,-0.683967082,-0.657061832,1.344978399,0.774382216,Rainfed,Estaca,-0.273615832
0,-1.788724661,0.539592324,-1.853478672,-0.517174426,1.344978399,0.285647605,Rainfed,Vivero,-0.205241049
0,-0.212191734,-0.147788301,-0.703329857,-0.936836644,1.344978399,2.013070916,Rainfed,Estaca,-0.27798018
0,-1.103967935,0.310465449,-1.094457905,-0.377287021,1.344978399,-0.135708293,Irrigated,Estaca,-0.19505757
0,-1.597629761,0.539592324,-1.586272382,-0.377287021,1.344978399,1.544583503,Rainfed,Vivero,-0.279434962
0,-0.148493434,0.081338574,-0.707202412,-1.07672405,1.344978399,1.045551219,Rainfed,Estaca,-0.190693223
0,2.144645369,-0.606042051,-0.048868073,-3.035147731,1.344978399,1.237202872,Rainfed,Estaca,-0.245974962
0,2.144645369,-0.606042051,-0.048868073,-3.035147731,1.344978399,1.065048229,Rainfed,Estaca,-0.237973658
0,1.109547993,0.768719199,0.249318657,0.462037414,-0.702639787,1.343650953,Rainfed,Estaca,-0.235355049
0,1.109547993,0.768719199,0.249318657,0.462037414,-0.702639787,0.83371591,Rainfed,Vivero,-0.23942844
0,0.934377668,0.768719199,0.094416459,0.322150009,-0.702639787,0.818040851,Rainfed,Estaca,-0.274052267
0,0.934377668,0.768719199,0.094416459,0.322150009,-0.702639787,0.286570447,Rainfed,Estaca,-0.239937614
0,0.727358193,0.768719199,0.005347696,0.322150009,1.344978399,0.592574207,Rainfed,Estaca,0.16572852
0,0.727358193,0.768719199,0.005347696,0.322150009,-0.702639787,1.14822328,Rainfed,Estaca,-0.249611919
0,0.727358193,0.768719199,0.005347696,0.322150009,-0.702639787,0.870991217,Rainfed,Estaca,-0.135411483
0,1.189170868,0.539592324,0.164122448,-0.097512209,-0.702639787,0.16774614,Rainfed,Estaca,0.113356345
0,1.221020018,0.768719199,0.156377338,0.042375197,-0.702639787,1.700922047,Rainfed,Estaca,-0.106315831
0,1.045849693,0.768719199,0.082798795,0.042375197,-0.702639787,0.756213775,Irrigated,Estaca,0.403585478
0,0.727358193,0.768719199,0.005347696,0.322150009,-0.702639787,1.028824317,Rainfed,Estaca,0.002065475
0,1.045849693,0.768719199,0.082798795,0.042375197,-0.702639787,-0.086623211,Irrigated,Estaca,-0.101951483
1,0.727358193,0.768719199,-0.281221369,0.322150009,-0.702639787,-0.186391149,Rainfed,Estaca,-0.264887136
1,0.201847217,1.226972949,-0.912447823,0.462037414,-0.702639787,0.004742205,Rainfed,Estaca,-0.142685396
1,0.584037017,0.997846074,-0.296711589,0.462037414,-0.702639787,1.516268234,Rainfed,Vivero,-0.019028873
0,1.045849693,0.768719199,0.082798795,0.042375197,-0.702639787,1.031319476,Irrigated,Estaca,0.029706344
1,1.045849693,0.768719199,0.082798795,0.042375197,-0.702639787,0.252857476,Irrigated,Estaca,-0.245974962
0,1.300642893,0.539592324,0.233828437,-0.097512209,-0.702639787,0.389963379,Irrigated,Estaca,-0.246702354
0,0.647735317,1.226972949,-0.51744722,0.322150009,-0.702639787,-0.927836783,Rainfed,Estaca,-0.246702354
0,0.711433617,0.997846074,-0.254113485,0.182262603,-0.702639787,0.57958257,Rainfed,Estaca,-0.24452018
0,0.822905643,0.997846074,-0.203770271,0.322150009,-0.702639787,0.26019101,Rainfed,Estaca,-0.248157136
0,0.711433617,0.997846074,-0.254113485,0.182262603,-0.702639787,0.867746954,Rainfed,Estaca,-0.24452018
0,0.711433617,0.997846074,-0.254113485,0.182262603,-0.702639787,1.680270134,Rainfed,Estaca,-0.266341919
0,0.711433617,0.997846074,-0.254113485,0.182262603,-0.702639787,0.737485222,Rainfed,Estaca,-0.233463832
0,0.711433617,0.997846074,-0.254113485,0.182262603,-0.702639787,0.565733373,Rainfed,Estaca,-0.227062788
0,0.711433617,0.997846074,-0.254113485,0.182262603,-0.702639787,0.997666891,Rainfed,Estaca,-0.268524093
0,0.934377668,0.768719199,0.094416459,0.322150009,-0.702639787,2.149523806,Rainfed,Estaca,0.519240696
1,0.934377668,0.310465449,-0.374162688,-1.216611456,1.344978399,0.950262649,Irrigated,Vivero,0.461049392
0,0.854754793,0.539592324,-0.761418181,-1.496386267,1.344978399,-1.59095891,Rainfed,Vivero,-0.230699745
0,1.061774268,0.539592324,-0.482594226,-1.636273673,1.344978399,0.0766024,Rainfed,Vivero,-0.264887136
1,0.902528518,0.997846074,-0.885339939,-1.356498861,1.344978399,3.191517902,Irrigated,Estaca,-0.177600179
0,0.377017542,0.539592324,-1.028624471,-1.356498861,1.344978399,1.801824717,Irrigated,Estaca,-0.152141483
0,0.233696367,0.768719199,-0.962791038,-1.07672405,1.344978399,-0.7419426,Irrigated,Estaca,-0.1389757
0,0.679584467,0.539592324,-0.784653511,-1.356498861,1.344978399,0.321083601,Rainfed,Estaca,-0.213969745
