Occurrence,AnnualRainfall,RainfallSeasonality,TempSeasonality,MaxTemp,Isothermality,Watering,PlantMaterialOrigin,Area,Slope
0,1.496560608,0.812611166,-0.019628483,-0.200716262,-0.793809048,Rainfed,Estaca,-0.299188142,-0.927836783
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,Rainfed,Estaca,-0.296261901,0.57958257
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,Rainfed,Estaca,-0.301138969,0.26019101
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,Rainfed,Estaca,-0.296261901,0.867746954
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,Rainfed,Estaca,-0.325524308,1.680270134
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,Rainfed,Estaca,-0.281435615,0.737485222
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,Rainfed,Estaca,-0.272851975,0.565733373
0,0.404149716,1.216641643,-0.550047656,0.385821334,-0.793809048,Rainfed,Estaca,-0.328450549,0.997666891
0,0.598555357,1.021579899,-0.33475755,0.386700459,-0.793809048,Rainfed,Estaca,0.72792235,2.149523806
1,0.230324965,0.598587684,-0.842373948,-1.016086552,1.41930283,Irrigated,Vivero,0.649889264,0.950262649
0,1.219474971,0.490207896,-0.57056778,-1.656657719,1.41930283,Rainfed,Vivero,-0.277729043,-1.59095891
0,0.875952948,0.485077619,-0.571512594,-1.431994977,1.41930283,Rainfed,Vivero,-0.323573481,0.0766024
1,1.369886814,0.707986508,-0.665828663,-1.64874358,1.41930283,Irrigated,Estaca,-0.206523852,3.191517902
0,0.988133084,0.490362426,-0.816255274,-1.653849997,1.41930283,Irrigated,Estaca,-0.172384377,1.801824717
0,0.451341566,0.718978361,-0.891809064,-1.09715737,1.41930283,Irrigated,Estaca,-0.154729392,-0.7419426
0,1.127521847,0.490493781,-0.589269601,-1.643623485,1.41930283,Rainfed,Estaca,-0.255294531,0.321083601
0,1.340877522,0.312241647,-0.567219594,-1.906081117,1.41930283,Rainfed,Vivero,0.014895029,-0.543027277
0,0.247634507,0.718978361,-0.962461937,-1.099690267,1.41930283,Rainfed,Vivero,-0.171408964,-0.985350123
0,1.023603917,0.490352815,-0.693170084,-1.519189992,1.41930283,Rainfed,Estaca,-0.320061992,-0.608302187
0,0.721974048,0.714913695,-0.618559923,-1.094849756,1.41930283,Rainfed,Vivero,-0.263683088,0.560847036
0,0.712947155,0.491026253,-0.783141295,-1.393239226,1.41930283,Rainfed,Estaca,0.011968788,-0.195639443
0,0.643469928,0.573724079,-0.772308813,-1.369848669,1.41930283,Rainfed,Vivero,-0.062162644,-0.468500817
0,0.056998,0.49663034,-0.561190122,-0.522210123,1.41930283,Rainfed,Estaca,5.439169905,-0.395216118
0,0.452343287,0.494123094,-1.043844199,-1.407391606,1.41930283,Rainfed,Vivero,-0.259196185,-0.192234464
0,0.832911072,0.935584581,-1.336887336,-1.803656228,1.41930283,Irrigated,Vivero,-0.101179187,2.063311223
0,-0.304766981,1.062307175,-1.169911332,-0.608789374,1.41930283,Rainfed,Estaca,-0.319671827,-1.413758729
0,-0.304766981,1.062307175,-1.169911332,-0.608789374,1.41930283,Rainfed,Estaca,-0.325524308,2.069968138
1,0.317238634,0.494960066,-0.64832316,-0.912887967,1.41930283,Irrigated,Vivero,0.136919266,-0.756896698
0,0.956697757,0.507397673,-0.686954198,-1.364974258,1.41930283,Rainfed,Estaca,-0.29333566,0.69491208
1,0.574461703,0.390502062,-0.667739596,-1.157921619,1.41930283,Rainfed,Vivero,-0.284556938,0.321636086
0,0.574461703,0.390502062,-0.667739596,-1.157921619,1.41930283,Rainfed,Estaca,-0.213351747,0.644290322
0,1.02013668,0.327129514,-0.492091642,-1.499161541,1.41930283,Irrigated,Estaca,0.312396168,-0.980679195
0,2.669584642,0.288186107,-0.303970095,-2.699552101,1.41930283,Rainfed,Vivero,1.090776199,0.241728167
1,0.461851329,0.385414442,-0.480966068,-1.025440553,1.41930283,Irrigated,Vivero,4.892938304,0.402122128
0,0.840082065,0.49869938,-0.662498323,-1.137385605,1.41930283,Rainfed,Vivero,0.95714454,1.754369098
0,0.574922766,0.633691845,-0.665806404,-1.13902486,1.41930283,Rainfed,Estaca,-0.058260989,0.777950432
0,0.956697757,0.507397673,-0.686954198,-1.364974258,1.41930283,Rainfed,Estaca,-0.285532352,-0.804570599
0,1.023603917,0.490352815,-0.693170084,-1.519189992,1.41930283,Rainfed,Estaca,0.030501646,0.822299534
0,1.271885913,0.490352815,-0.569381282,-1.766305319,1.41930283,Rainfed,Estaca,-0.267194577,-0.875553555
0,0.721974048,0.714913695,-0.618559923,-1.094849756,1.41930283,Rainfed,Vivero,-0.083036494,0.539946975
1,0.501185675,0.490352815,-0.806783445,-1.246519417,1.41930283,Rainfed,Vivero,-0.060211817,0.309071794
1,0.597073135,0.261727268,-0.433953828,-1.137038466,1.41930283,Irrigated,Vivero,0.019772096,0.536381165
1,1.067395185,0.261727268,-0.424833591,-1.508490223,1.41930283,Irrigated,Vivero,-0.152876106,-1.470846226
1,-1.041591289,0.053935591,-0.04932153,1.187286053,1.41930283,Irrigated,Vivero,-0.22213047,-1.387749248
0,-0.78803408,0.033101722,-0.136004643,0.525620601,1.41930283,Irrigated,Vivero,-0.08849881,-1.482732903
1,-0.925161326,0.217871824,-0.316710683,0.480871562,1.41930283,Irrigated,Vivero,-0.248466636,-1.304237671
0,-1.21782079,-0.340121179,-1.219223894,-1.325365202,1.41930283,Irrigated,Vivero,-0.329425963,0.760922617
0,-0.787960045,-0.598645218,-0.865904117,-1.582439913,1.41930283,Irrigated,Estaca,-0.340155512,2.465483369
0,-2.192304605,1.198198572,-3.375827635,-1.788883664,1.41930283,Rainfed,Estaca,-0.316745586,0.567810257
0,0.560922896,0.490352815,-0.941734404,-1.703190244,1.41930283,Irrigated,Estaca,1.099554921,-0.668915792
0,0.434899328,0.490352815,-0.735511333,-1.33643348,1.41930283,Irrigated,Estaca,-0.23578626,0.395297959
0,0.875456447,0.417132249,-0.555305358,-1.622930226,1.41930283,Rainfed,Vivero,0.748406035,0.248065421
0,0.780595641,0.485496082,-0.640699626,-1.617901562,1.41930283,Rainfed,Vivero,-0.160679415,0.877676843
0,0.257978197,0.477973912,-0.874658799,-1.294612593,1.41930283,Rainfed,Estaca,-0.284556938,0.858402492
0,0.257978197,0.477973912,-0.874658799,-1.294612593,1.41930283,Rainfed,Estaca,-0.296261901,-0.609009307
0,0.257978197,0.477973912,-0.874658799,-1.294612593,1.41930283,Rainfed,Estaca,-0.107031668,0.416944905
0,0.013800343,0.371172684,-0.958549737,-1.109311916,1.41930283,Rainfed,Estaca,0.031477059,0.969127901
0,0.013800343,0.371172684,-0.958549737,-1.109311916,1.41930283,Rainfed,Estaca,-0.295286488,-0.697446014
0,0.111835445,0.483304957,-0.646543309,-0.992838336,1.41930283,Rainfed,Estaca,-0.113859563,0.503902585
1,0.398194865,0.482254777,-0.720121432,-1.331240676,1.41930283,Irrigated,Vivero,3.402506366,0.115725872
